Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Total Funding Amount
Element Inc,https://www.crunchbase.com/organization/element-inc,"Artificial Intelligence, Biometrics, Identity Management","New York, New York, United States",Element develops and distributes mobile-based platforms for digital identity.,"5,982",http://www.discoverelement.com,https://www.linkedin.com/company/6989871/,hello@discoverelement.com,,"Adam Perold, Yann LeCun",11-50,3,Early Stage Venture,2018-04-11,"$12,000,000","$18,000,000"
Cleanly,https://www.crunchbase.com/organization/cleanly,"E-Commerce, Location Based Services, Logistics, Mobile","New York, New York, United States",Cleanly offers a simple on-demand laundry delivery service.,"6,007",https://cleanly.com,http://www.linkedin.com/company/cleanly,support@cleanly.com,,"Chen Atlas, Itay Forer, Tom Harari",1-10,2,Early Stage Venture,2017-04-11,"$5,000,000","$7,300,000"
Great Jones,https://www.crunchbase.com/organization/great-jones,"Property Management, Real Estate, Rental, Rental Property","New York, New York, United States",Great Jones is creating a modern platform to serve the $2 trillion in rental homes owned by small-scale homeowners and investors.,"6,026",http://www.greatjones.co,https://www.linkedin.com/company/11216508/,hello@greatjones.co,,Jay Goldklang,11-50,2,Early Stage Venture,2018-04-06,"$8,000,000","$8,000,000"
Nestio,https://www.crunchbase.com/organization/nestio,"Cloud Data Services, Marketing, Property Management, Real Estate","New York, New York, United States",Nestio offers the most complete marketing and leasing management solution for residential landlords and brokers.,"6,051",http://www.nestio.com,http://www.linkedin.com/company/nestio,hello@nestio.com,1(800)975-4077,"Caren Maio, Matt Raoul, Mike O'Toole",11-50,6,Early Stage Venture,2015-12-01,"$8,000,000","$11,923,000"
Oyster,https://www.crunchbase.com/organization/oysterbooks-com,"E-Learning, EBooks, Education, Internet","New York, New York, United States",Oyster is an ebook subscription service and ebook retailer.,"6,056",http://www.oysterbooks.com,http://www.linkedin.com/company/oyster-inc-,hello@oysterbooks.com,13013513023,"Andrew Brown, Eric Stromberg, Willem Van Lancker",11-50,2,M&A,2014-01-14,"$14,000,000","$17,000,000"
Bespoke Post,https://www.crunchbase.com/organization/bespoke-post,"Consumer Goods, Lifestyle, Men's","New York, New York, United States",Goods and guidance for the modern man.,"6,138",http://bespokepost.com,http://www.linkedin.com/company/bespoke-post,help@bespokepost.com,888-565-6762,"Rishi Prabhu, Steven Szaronos",11-50,5,Early Stage Venture,2017-10-18,"$8,000,000","$8,875,000"
TrueFacet,https://www.crunchbase.com/organization/truefacet,"E-Commerce, Jewelry","New York, New York, United States",TrueFacet is a modern alternative for buying and selling jewelry and watches.,"6,213",http://www.TrueFacet.com,http://www.linkedin.com/company/truefacet,support@truefacet.com,(800) 690-3736,"Christopher Chan, Tirath Kamdar",11-50,5,Early Stage Venture,2016-09-20,"$6,000,000","$14,710,000"
Everplans,https://www.crunchbase.com/organization/everplans,"Financial Services, FinTech, Information Services, Personal Health, Wellness","New York, New York, United States","The Everplans website, articles, and tools can help you learn about your options, make the best decisions for you and your family, and take","6,258",http://www.everplans.com,http://www.linkedin.com/company/everplans,investors@everplans.com,1(646)658-3665,"Abby Schneiderman, Adam Seifer",11-50,5,Early Stage Venture,2016-06-30,"$6,400,000","$15,558,612"
Cloud9 Technologies,https://www.crunchbase.com/organization/cloud9-technologies,"Internet, Software, Telecommunications","New York, New York, United States",The company intends will enable the company to grow its business to meet industry demand.,"6,259",http://www.c9tec.com/,https://www.linkedin.com/company/cloud9-technologies-llc,info@c9tec.com,+119142577121,"Gerald Starr​, Leo Papadopoulos, Stephen J. Kammerer",11-50,2,Early Stage Venture,2016-10-12,"$30,000,000","$30,000,000"
Connatix,https://www.crunchbase.com/organization/connatix,Advertising,"New York, New York, United States",Connatix is a company that provides brands to feature their content across web and mobile media properties.,"6,288",http://www.connatix.com,http://www.linkedin.com/company/4999305,contact@connatix.com,212 860 7788,"David  Kashak, Oren  Stern",11-50,2,Early Stage Venture,2017-10-24,"$15,000,000","$15,000,000"
Shoppable,https://www.crunchbase.com/organization/72lux,"Advertising, E-Commerce, Mobile, Retail, SaaS, Software","New York, New York, United States",Shoppable® is the leader in universal checkout technology and distributed commerce solutions for affiliates and merchants. ,"6,290",http://www.Shoppable.com/,http://www.linkedin.com/company/72lux,customercare@shoppable.com,212-349-1618,Heather Marie,11-50,3,Early Stage Venture,2016-08-02,"$3,500,000","$5,000,000"
Noodle Partners,https://www.crunchbase.com/organization/noodle-partners,"EdTech, Education, Venture Capital","New York, New York, United States",Noodle Partners is an education venture company.,"6,325",http://noodle-partners.com/,https://www.linkedin.com/company/noodle-partners,,(877) 724-9666,John Katzman,11-50,2,Early Stage Venture,2017-12-01,"$14,000,000","$18,000,000"
KidPass,https://www.crunchbase.com/organization/kidpass,"Event Management, Events, Internet","New York, New York, United States",KidPass is the new way for parents to discover and book amazing kids activities.,"6,355",https://kidpass.com/,https://www.linkedin.com/company-beta/10245302,info@kidpass.com,,"Aaron Kaufman, Chhay Chhun, Olivia Ballvé, Solomon Liou",1-10,2,Early Stage Venture,2017-05-23,"$5,100,000","$6,300,000"
Amenity Analytics,https://www.crunchbase.com/organization/amenity-analytics,"Analytics, Data Integration, Database, Machine Learning, Natural Language Processing","New York, New York, United States",Amenity Analytics provides next-generation Text-Mining AI Platform,"6,409",http://amenityanalytics.com,https://www.linkedin.com/company/amenity-analytics-llc,contact@amenityllc.com,(646)786-8316,"Hedva Feldman, Nathaniel Storch, Prof. Ronen  Feldman",11-50,2,Early Stage Venture,2017-08-21,"$7,600,000","$7,600,000"
Slidely,https://www.crunchbase.com/organization/slidely,"Data Visualization, Mobile, Music, Photography, Social Media, Social Media Marketing, Video, Video Advertising","New York, New York, United States","Slidely is a social video creation platform that enables business, brands, and publishers to grow and connect with people via visual content","6,425",http://Slide.ly,https://www.linkedin.com/company/easyhi/,interest@slidely.com,,Tom More,11-50,3,Early Stage Venture,2016-08-10,"$5,000,000","$12,300,000"
SocialRadar,https://www.crunchbase.com/organization/socialradar,"iOS, Local, Location Based Services, Mobile, Social Media","Washington, District of Columbia, United States",SocialRadar develops social and location-based space applications for users to connect and interact with others around them.,"6,426",http://www.socialradar.com,http://www.linkedin.com/company/3094452,social@socialradar.com,202-296-0161,Michael Chasen,11-50,1,M&A,2013-06-19,"$12,750,000","$12,750,000"
TheGuarantors,https://www.crunchbase.com/organization/the-guarantors,"Credit, FinTech, Insurance, Real Estate","New York, New York, United States",InsureTech startup specializing in Real Estate,"6,469",https://www.theguarantors.com,https://www.linkedin.com/company/the-guarantors,contact@theguarantors.com,(917)327-5300,"Clement Miglietti, Julien Bonneville",11-50,2,Early Stage Venture,2017-08-31,"$11,720,000","$11,720,000"
Cohero Health,https://www.crunchbase.com/organization/cohero-health,"Health Care, Medical, Medical Device, Mobile","New York, New York, United States",Digital health company that empowers respiratory patients to engage in their care through through a proprietary connected health platform.,"6,500",http://www.coherohealth.com,https://www.linkedin.com/company/coherohealth?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,info@coherohealth.com,(212)423-2998,"Dan Weinstein, Melissa Manice",11-50,5,Early Stage Venture,2016-11-02,"$13,300,000","$15,300,000"
Humanyze,https://www.crunchbase.com/organization/humanyze,"Analytics, Human Resources, Social","Boston, Massachusetts, United States",Modern people analytics solutions with real business results.,"6,503",http://www.humanyze.com,,info@humanyze.com,857-250-2161,"Alex Pentland, Ben Waber, Daniel Olguin Olguin, Taemie Kim, Tuomas Jaanu",1-10,2,Early Stage Venture,2016-05-05,"$4,000,000","$5,000,000"
TravelersBox,https://www.crunchbase.com/organization/travelersbox,"Customer Service, Enterprise Applications, Travel","New York, New York, United States","TravelersBox developed an innovative service at airports which enables depositing leftover change directly to eWallets, gift cards and more.","6,523",http://www.travelersbox.com,http://www.linkedin.com/company/3089866,support@travelersbox.com,1(855) 366-044,"Dror Blumenthal, Idan Deshe, Tomer Zussman",11-50,2,Early Stage Venture,2016-01-21,"$10,000,000","$14,500,000"
DRAFT,https://www.crunchbase.com/organization/starstreet,"American Football, Basketball, Fantasy Sports, Finance, Gaming, Golf, Mobile Apps, Soccer, Sports","New York, New York, United States",Draft is the first truly mobile fantasy game. Like Words with Friends for fantasy with real money.,"6,526",https://playdraft.com/,,support@playdraft.com,,"Jeremy Levine, Nicolo Giorgi, Palle Pedersen",11-50,4,M&A,2015-02-10,"$3,500,000","$5,600,000"
Quentis Therapeutics,https://www.crunchbase.com/organization/quentis-therapeutics,Biotechnology,"New York, New York, United States",Quentis Therapeutics  a biotechnology company.,"6,557",http://www.quentistx.com/,https://www.linkedin.com/company/quentistx/,Info@quentistx.com,(646) 440-9249,"Juan  Cubillos-Ruiz, Laurie Glimcher, Sarah  Bettigole",1-10,1,Early Stage Venture,2018-02-27,"$48,000,000","$48,000,000"
Zype,https://www.crunchbase.com/organization/zype,"Cloud Computing, Digital Media, Mobile Advertising, Video, Video Streaming","New York, New York, United States",Zype is the cloud video distribution service for OTT that makes it easy for content owners to connect with their audiences on every screen.,"6,565",http://www.zype.com,https://www.linkedin.com/company/zype-inc,contact@zype.com,,"Chris Bassolino, Ed Laczynski",11-50,5,Early Stage Venture,2017-10-13,"$4,900,000","$8,500,000"
1Huddle,https://www.crunchbase.com/organization/sales-huddle-group,"Enterprise Software, Gamification, Human Resources, SaaS, Training","New York, New York, United States",Game Platform for Employee Training,"6,688",http://www.1huddle.co,http://www.linkedin.com/company/2601312,info@1huddle.co,1(917)831-4567,Sam Caucci,11-50,3,Early Stage Venture,2018-04-18,"$3,000,000","$3,625,000"
Healthify,https://www.crunchbase.com/organization/healthify,"Health Care, mHealth, Wellness","New York, New York, United States",There's more to health than healthcare,"6,690",http://www.healthify.us,https://www.linkedin.com/company/healthify?trk=top_nav_home,info@healthify.us,(844)444-4824,"Alex Villa, Dan Levenson, Eric Conner, James Corines, Manik Bhat",11-50,4,Early Stage Venture,2017-07-11,"$6,500,000","$9,520,000"
BlueConic,https://www.crunchbase.com/organization/blueconic-2,"Big Data, Marketing Automation, Multi-level Marketing, Real Time","Boston, Massachusetts, United States","Use BlueConic to recognize an individual at any touchpoint, and synchronize their intent across the marketing ecosystem.","6,813",http://www.BlueConic.com,https://www.linkedin.com/company/5057388,info@blueconic.com,(888) 440-2583,"Bart Heilbron, Martijn van Berkum",11-50,5,Early Stage Venture,2016-07-28,"$6,251,681","$13,751,681"
Sketchfab,https://www.crunchbase.com/organization/sketchfab,"3D Technology, FinTech, Real Time, Software","New York, New York, United States","Sketchfab is a platform to publish, share, and discover 3D content online and in VR.","6,844",http://sketchfab.com,http://www.linkedin.com/company/sketchfab,support@sketchfab.com,,"Alban Denoyel, Cedric Pinson, Pierre-Antoine Passet",11-50,5,Early Stage Venture,2015-06-16,"$7,000,000","$9,500,000"
CredSimple,https://www.crunchbase.com/organization/credsimple,"Health Care, Information Technology, Medical, SaaS","New York, New York, United States",CredSimple is an NCQA certified credentialing and provider data management solution.,"6,996",http://www.credsimple.com/,https://www.linkedin.com/company/3233382,sales@credsimple.com,+8666888881,"Mike Simmons, Sam Meyer",1-10,5,Early Stage Venture,2017-12-14,,"$8,927,537"
Insticator,https://www.crunchbase.com/organization/insticator,"Advertising Platforms, Digital Media, Internet, Internet of Things, Software","New York, New York, United States","Insticator increases engagement and ad revenue for publishers with interactive content, while enhancing brands' product intent.","7,005",http://www.Insticator.com,http://www.linkedin.com/company/2757474,Hello@insticator.com,(212) 673-8969,Zack Dugow,11-50,3,Early Stage Venture,2017-07-13,"$5,200,000","$10,062,773"
Codeship,https://www.crunchbase.com/organization/codeship,"B2B, Cloud Computing, Developer Tools, IaaS, SaaS, Software, Test and Measurement, Web Development","Boston, Massachusetts, United States",Bringing Continuous Deployment to everyone The - Codeship runs your hosted tests and automated deployments.,"7,008",https://codeship.com,http://www.linkedin.com/company/codeship,contact@codeship.com,+1 (617) 909-9578,"Florian Motlik, Manuel Weiss, Moritz Plassnig",11-50,4,M&A,2016-07-26,"$7,000,000","$11,400,000"
"Bayshore Networks, Inc.",https://www.crunchbase.com/organization/bayshore-networks,"Cyber Security, Information Technology, Internet of Things","New York, New York, United States",Bayshore is the cybersecurity leader for the Industrial Internet. Bayshore's policy-based Gateway enables applications for IoT platforms.,"7,014",http://bayshorenetworks.com,https://www.linkedin.com/company/bayshore-networks,info@bayshorenetworks.com,(212)797-1529,"Francis Cianfrocca, Vivek Patel",11-50,3,Early Stage Venture,2017-03-20,"$4,400,000","$11,400,000"
Red Balloon Security,https://www.crunchbase.com/organization/red-balloon-secrurity,"Cyber Security, Embedded Systems, Internet of Things, Network Security","New York, New York, United States",Red Balloon Security is an embedded device security research and development firm.,"7,058",http://www.redballoonsecurity.com/,https://www.linkedin.com/company/red-balloon-security,info@redballoonsecurity.com,212-854-8444,"Ang Cui, Salvatore Stolfo",11-50,1,Early Stage Venture,2018-04-03,"$21,900,000","$21,900,000"
Keybase,https://www.crunchbase.com/organization/keybase,"Public Safety, Social Media, Web Hosting","New York, New York, United States","Keybase allows users to easily encrypt, decrypt, and share messages within a tried-and-tested encryption standard.","7,063",https://keybase.io/,,,,"Chris Coyne, Maxwell Krohn",1-10,1,Early Stage Venture,2015-07-15,"$10,800,000","$10,800,000"
Quilt,https://www.crunchbase.com/organization/quilt-2,"Consumer, Insurance, Property Insurance","Boston, Massachusetts, United States",Quilt offers insurance products for a digital generation.,"7,184",http://getquilt.com,https://www.linkedin.com/company/2642133?trk=prof-exp-company-name,,,"Blair Baldwin, Hal Schwartz, Lee Hower",1-10,3,Early Stage Venture,2018-01-31,,"$3,250,000"
Unite Us,https://www.crunchbase.com/organization/unite-us,"Health Care, Social CRM, Software","New York, New York, United States","Unite US provides best-in-class collaboration and coordination software, streamlining the delivery of health & human services.","7,197",http://uniteus.com,http://www.linkedin.com/company/uniteus,support@uniteus.com,1-844-786-4838,"Andrew Price, Daniel Brillman, Kareem Elsirafy, Taylor Justice",11-50,3,Early Stage Venture,2017-09-19,"$4,000,000","$10,300,000"
Ocrolus,https://www.crunchbase.com/organization/ocrolus,"Finance, Financial Services, FinTech","New York, New York, United States","Ocrolus analyzes financial documents, regardless of format and quality, with over 99% accuracy.","7,245",https://www.ocrolus.com/,https://www.linkedin.com/company/ocrolus,contact@ocrolus.com,(646)850-9090,"Sam Bobley, Victoria Meakin",11-50,3,Early Stage Venture,2018-04-09,"$4,000,000","$7,300,000"
Sticky,https://www.crunchbase.com/organization/sticky,"Advertising, Brand Marketing, Marketing","New York, New York, United States","Disruptive biometric SaaS Visual Marketing technology to optimize web, email, ads, video, and more through visual and emotional engagement.","7,281",http://www.sticky.ai,http://www.linkedin.com/company/sticky-inc,info@sticky.ai,(646)653-4637,Mathias Plank,11-50,3,M&A,2015-04-29,"$5,000,000","$11,000,000"
RiskRecon,https://www.crunchbase.com/organization/riskrecon,"Cyber Security, Network Security, Security","Boston, Massachusetts, United States",RiskRecon provides vendor security program assessments that are: Comprehensive. Actionable. and On-demand.,"7,352",http://www.riskrecon.com/,https://www.linkedin.com/company/riskrecon,,(801) 758-0560 ,"Eric Blatte, Kelly White",11-50,2,Early Stage Venture,2017-06-01,"$12,000,000","$15,000,000"
SECDO,https://www.crunchbase.com/organization/secdo,"Cyber Security, Network Security, Security","New York, New York, United States",SECDO develops innovative solutions that enable Security Operations teams to slash incident response from hours to minutes.,"7,364",http://www.sec.do,https://www.linkedin.com/company/secdo,info@sec.do,+97298944904,"Gil Barak, Shai Morag",11-50,2,M&A,2017-05-05,,"$10,000,000"
Ringly,https://www.crunchbase.com/organization/ringly,"Fashion, Internet of Things, Jewelry, Wearables","New York, New York, United States","Ringly designs and develops wearable technology solutions that are compact in size, but powerful in functionality.","7,422",http://www.ringly.com/,http://www.linkedin.com/company/ringly,info@ringly.com,,Christina Mercando,11-50,3,Early Stage Venture,2015-01-21,"$5,800,000","$6,800,000"
LetsGetChecked,https://www.crunchbase.com/organization/letsgetchecked,"Health Care, Health Diagnostics, Medical","New York, New York, United States",LetsGetChecked allows customers to access laboratory testing from the privacy of home.,"7,426",https://www.letsgetchecked.com/,https://www.linkedin.com/company/5308699/,admin@letsgetchecked.com,+1 929 376 0056,Peter Foley,11-50,1,Early Stage Venture,2018-03-28,"$12,000,000","$12,000,000"
Droit Financial Technologies,https://www.crunchbase.com/organization/droit-financial-technologies,Financial Services,"New York, New York, United States",Droit a financial technology company,"7,433",http://droitfintech.com/,https://www.linkedin.com/company/droit-financial-technologies-llc,info@droitfintech.com,+112128048875,"Anup Menon, Satya Pemmaraju",11-50,1,Early Stage Venture,2016-11-02,"$16,000,000","$16,000,000"
B12,https://www.crunchbase.com/organization/b12io,"Artificial Intelligence, Computer, Small and Medium Businesses, Software","New York, New York, United States",B12 offers a human-assisted A.I. approach combined machines and expert designers to build and manage beautiful and professional websites.,"7,547",https://b12.io,https://www.linkedin.com/company/team-b12,hello@b12.io,(929)352-5227,"Adam Marcus, Nitesh Banta",11-50,1,Early Stage Venture,2016-07-25,"$12,400,000","$12,400,000"
Arbor,https://www.crunchbase.com/organization/arbor,"Analytics, CRM, Identity Management, Mobile","New York, New York, United States",Arbor operates the first marketplace for people-based data.,"7,612",http://arbor.io,https://www.linkedin.com/company/arbor-/,,,"David Yaffe, John Graettinger, Nikhil Dixit",11-50,2,M&A,2016-09-13,"$6,500,000","$9,050,000"
Trusted Insight,https://www.crunchbase.com/organization/trusted-insight,"Finance, FinTech, Hedge Funds, Private Social Networking, Venture Capital","New York, New York, United States",Trusted Insight is the leading Institutional Syndication Platform for Alternative Assets. Its members manage over $18 Trillion in AUM.,"7,616",http://www.thetrustedinsight.com,https://www.linkedin.com/company/1015659/,contact@thetrustedinsight.com,415-871-0280,Alex Bangash,11-50,5,Early Stage Venture,2016-08-18,,"$7,700,000"
HealthCare.com,https://www.crunchbase.com/organization/healthcare-com,"Digital Entertainment, Digital Media, Health Care, Internet, Medical","Miami, Florida, United States","HealthCare.com is the leading unbiased search, comparison and recommendation tool for healthcare consumers.","7,635",http://www.healthcare.com,http://www.linkedin.com/company/healthcare.com,info@healthcare.com,(305) 777-7890,"Glenn Luk, Howard Yeh, Jeff Smedsrud, Matias de Tezanos",11-50,1,Early Stage Venture,2015-03-06,"$9,270,000","$9,270,000"
Prevail Therapeutics,https://www.crunchbase.com/organization/prevail-therapeutics,Biotechnology,"New York, New York, United States",A biotechnology company.,"7,653",https://www.prevailtherapeutics.com/,https://www.linkedin.com/company/prevail-therapeutics/,,,Asa Abeliovich,1-10,1,Early Stage Venture,2018-03-08,"$75,000,000","$75,000,000"
AdHawk,https://www.crunchbase.com/organization/adhawk,"Advertising, Analytics, Marketing, Mobile","New York, New York, United States","AdHawk aggregates a company's total digital marketing data, and offers advertisers one-click optimization solutions.","7,712",https://www.tryadhawk.com,https://www.linkedin.com/company/adhawk?trk=top_nav_home,info@tryadhawk.com,650-382-3170,"Dan Pratt, Todd Saunders",11-50,3,Early Stage Venture,2017-10-30,"$2,495,201","$3,995,201"
Custora,https://www.crunchbase.com/organization/custora,"Business Intelligence, Digital Marketing, E-Commerce Platforms, Marketing Automation, Retail Technology","New York, New York, United States",Custora is the leader in advanced customer analytics for the retail industry.,"7,737",https://www.custora.com/,https://www.linkedin.com/company/custora,info@custora.com,(646)590-1444,"Corey Pierson, Jon Pospischil",11-50,3,Early Stage Venture,2015-04-07,"$6,500,000","$6,500,000"
Wandering Bear Coffee,https://www.crunchbase.com/organization/wandering-bear-coffee,"Coffee, Food and Beverage, Restaurants","New York, New York, United States","Wandering Bear Coffee brings fresh, uniquely bold, smooth cold brew to homes and offices.","7,742",https://www.wanderingbearcoffee.com/,https://www.linkedin.com/company-beta/5255100/,hello@wanderingbearcoffee.com,(404)725-7283,"Ben Gordon, Matthew Bachmann",1-10,5,Early Stage Venture,2018-01-01,"$8,000,000","$10,450,000"
Sweeten,https://www.crunchbase.com/organization/sweeten,"Construction, Home Renovation","New York, New York, United States","Sweeten is an award-winning, two-sided marketplace connecting vetted general contractors with clients for major renovations.","7,754",http://sweeten.com/,https://www.linkedin.com/company-beta/2197614,team@sweeten.com,212-671-1713,"Jean Brownhill, Preeti Sriratana, Shera Nuss",11-50,2,Early Stage Venture,2015-10-20,"$6,010,736","$9,830,919"
Nucleus,https://www.crunchbase.com/organization/nucleus,"Consumer Electronics, Electronics, Wireless","New York, New York, United States",Nucleus is a wireless home intercom system that can be activated with voice.,"7,784",http://www.nucleuslife.com,https://www.linkedin.com/company/6632572?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6632572%2Cidx%3A2-1-2%2CtarId%3A1446047281215%2Ctas%3Anucleus%20intercom,hi@nucleuslife.com,,"Isaac Levy, Jonathan Frankel, Morley Ivers",11-50,2,Early Stage Venture,2016-09-21,"$5,600,000","$8,970,000"
Lingo Live,https://www.crunchbase.com/organization/lingo-live,"Corporate Training, Education, Enterprise Software, Language Learning, Software, Tutoring","New York, New York, United States",Lingo Live teaches employees at multinational companies to gain the English communication skills they need to move up in their career.,"7,854",http://www.lingolive.com/,http://www.linkedin.com/company/lingo-live,info@lingolive.com,+1 (888) 895-7970,"Alex Au, Tyler Muse",11-50,3,Early Stage Venture,2017-01-12,"$6,171,803","$7,311,803"
dv01,https://www.crunchbase.com/organization/dv01,"Lending, Marketplace, Risk Management","New York, New York, United States","As a hub between lenders and capital markets, dv01 provides one source of transparent data for bonds and whole loans. ","7,899",https://www.dv01.co,https://www.linkedin.com/company/dv01,jobs@dv01.co,(646)854-5258,Perry Rahbar,11-50,3,Early Stage Venture,2017-09-13,"$5,500,000","$13,000,000"
Demdex,https://www.crunchbase.com/organization/demdex,"Advertising, E-Commerce, SaaS","New York, New York, United States","Demdex provides audience management solutions for powering dynamic, multi-channel data strategies online.","7,932",http://demdex.com,https://www.linkedin.com/company/adobe-marketing-cloud,,1-877-4-DEMDEX,"Phil Grieshaber, Randy Nicolau",11-50,3,M&A,2010-05-10,"$6,000,000","$8,500,000"
SevenFifty,https://www.crunchbase.com/organization/sevenfifty-technologies,"Hospitality, Restaurants, Retail, Wine And Spirits","New York, New York, United States",SevenFifty connects the beverage alcohol industry with a platform that helps distributors and buyers interact.,"8,014",https://www.sevenfifty.com/,https://www.linkedin.com/company/sevenfifty,info@sevenfifty.com,,"Aaron Sherman, Gianfranco Verga, Neal Parikh",11-50,1,Early Stage Venture,2016-06-01,"$8,500,000","$8,500,000"
Brickwork,https://www.crunchbase.com/organization/brickwork,"Internet, Retail, SaaS","New York, New York, United States",Brickwork is a SaaS platform powering the pre-visit experience for retailers.,"8,017",http://www.brickworksoftware.com,https://www.linkedin.com/company/brickwork,hello@brickworksoftware.com,(800) 360-7980,David Munczinski,11-50,3,Early Stage Venture,2016-10-26,"$5,000,000","$5,000,000"
Bedrock Data,https://www.crunchbase.com/organization/bedrock-data,"Cloud Data Services, Data Integration, SaaS, Software","Boston, Massachusetts, United States","Bedrock Data provides the leading product to connect, clean and continuously synchronize multiple cloud systems in real-time.","8,063",http://www.bedrockdata.com,http://www.linkedin.com/company/bedrock-data-inc,support@bedrockdata.com,1(877) 588-2671,"Adrian Mott, Ben Smith, John Marcus III, Taylor Barstow",11-50,2,Early Stage Venture,2015-04-13,"$3,110,000","$3,360,000"
FitNow,https://www.crunchbase.com/organization/fitnow,"Fitness, Health Care, Mobile","Boston, Massachusetts, United States","Parent company of popular weight-loss app, Lose It!, coaching platform, Ascend, and nutrigenomics product, embodyDNA.","8,117",http://www.loseit.com,https://www.linkedin.com/company/lose-it-,info@loseit.com,,"Charles Teague, J.J. Allaire, Paul Dicristina",11-50,2,Early Stage Venture,2012-02-15,"$5,500,000","$5,500,000"
CoachUp,https://www.crunchbase.com/organization/coachup,"Fitness, Sports, Training","Boston, Massachusetts, United States",CoachUp is the nation's leader in sports coaching. We connect athletes with private coaches for in-person training sessions.,"8,160",http://www.coachup.com,http://www.linkedin.com/company/2449087,info@coachup.com,(888) 680-4750,"Arian Radmand, Gabe Durazo, Jordan Fliegel",11-50,2,Early Stage Venture,2013-11-21,"$6,700,000","$9,400,000"
botkeeper,https://www.crunchbase.com/organization/botkeeper,"Accounting, FinTech, Software","Boston, Massachusetts, United States","botkeeper continuously improves, automates data entry, classification and reporting and runs 24/7.","8,171",https://www.botkeeper.com/,https://www.linkedin.com/company-beta/10083988,support@botkeeper.com,(800)823-8064,Enrico  Palmerino,1-10,1,Early Stage Venture,2018-01-25,"$4,500,000","$4,500,000"
Mavrck ,https://www.crunchbase.com/organization/mavrck,"Advertising, Advertising Platforms, Apps, Brand Marketing, Digital Media, Social Media Marketing","Boston, Massachusetts, United States",Mavrck enables national consumer brands to drive sales by identifying and activating their most influential customers at scale.,"8,367",http://www.mavrck.co,http://www.linkedin.com/company/mavrck,founders@mavrck.co,,"Chris Wolfel, Lyle Stevens, Sean Naegeli, Shoeb Ahmed Mogal",11-50,5,Early Stage Venture,2015-11-13,"$5,000,000","$8,100,000"
Code Climate,https://www.crunchbase.com/organization/code-climate,"B2B, Developer Tools, SaaS, Software Engineering","New York, New York, United States",Superpowers for engineering teams.,"8,459",https://codeclimate.com/,https://www.linkedin.com/company/code-climate,hello@codeclimate.com,,"Bryan Helmkamp, Noah Davis",11-50,2,Early Stage Venture,2016-10-06,"$4,500,000","$6,500,000"
Littlstar,https://www.crunchbase.com/organization/little-star-media--inc-,"Advertising, Video Streaming, Virtual Reality","New York, New York, United States","Littlstar is a global network dedicated exclusively to virtual reality, 360 video, and immersive experiences.","8,486",http://littlstar.com,https://www.linkedin.com/company/3614684,info@littlstar.com,(347) 827-0617,"Matthew Collado, Tony Mugavero",11-50,3,Early Stage Venture,2016-05-24,"$5,242,207","$6,367,207"
PowerToFly,https://www.crunchbase.com/organization/powertofly-2,"Human Resources, Recruiting","New York, New York, United States",The platform companies are using to meet board-mandated diversity goals. ,"8,530",http://powertofly.com,https://www.linkedin.com/company/5150994,hi@powertofly.com,,Katharine Zaleski,11-50,2,Early Stage Venture,2015-06-30,"$6,500,000","$7,500,000"
VenueBook,https://www.crunchbase.com/organization/venuebook,"Event Management, Events, Hospitality, Marketplace, SaaS","New York, New York, United States","We bring bookers and venue managers together via our marketplace to create a seamless, transactional digital event planning experience.","8,553",http://venuebook.com,https://www.linkedin.com/company/2662744?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2662744%2Cidx%3A2-1-2%2CtarId%3A1484175577524%2Ctas%3Avenuebook,info@venuebook.com,,Kelsey Recht,11-50,2,Early Stage Venture,2016-02-28,"$6,600,000","$8,600,000"
Fashion Project,https://www.crunchbase.com/organization/fashion-project,"E-Commerce, Fashion, Finance","Boston, Massachusetts, United States","Fashion Project is an e-commerce store offering exclusive fashion products donated by style icons, celebrities and philanthropists.","8,618",http://www.fashionproject.com,http://www.linkedin.com/company/fashion-project,support@fashionproject.com,(760) 940-6383,"Anna Palmer, Christine Rizk",11-50,4,Early Stage Venture,2015-01-29,"$7,200,000","$9,500,000"
Wanderu,https://www.crunchbase.com/organization/wanderu,"Data Integration, Transportation, Travel","Boston, Massachusetts, United States",Wanderu is the ground travel middle-layer technology and consumer search in North America and expanding globally.,"8,637",https://www.wanderu.com,http://www.linkedin.com/company/wanderu-inc,hello@wanderu.com,,"Eddy Wong, Igor Bratnikov, Polina Raygorodskaya",11-50,3,Early Stage Venture,2014-11-05,"$5,600,000","$8,050,000"
